operation	language	input_size	time	memory
matmul_naïve	Python	100	97.95682500043768	
matmul_naïve	Python	200	774.3376420003187	
matmul_naïve	Python	100	88.82527700188803	
matmul_naïve	Python	200	759.7686089975468	
matmul_naïve	Python	400	6614.802383999631	
matmul_naïve	C	100	0.784668	
matmul_naïve	C	200	6.995287	
matmul_naïve	C	400	58.600811	
matmul_naïve	Java	100	5.0	
matmul_naïve	Java	200	14.0	
matmul_naïve	Java	400	103.0	
matmul_naïve	Python	100		1568360
matmul_naïve	Python	200		2288264
matmul_naïve	Python	400		5230568
matmul_naïve	C	100		244128
matmul_naïve	C	200		964128
matmul_naïve	C	400		3844128
matmul_naïve	Java	100		32898256
matmul_naïve	Java	200		33227968
matmul_naïve	Java	400		33554264
matmul_optimized	Python	100	0.11763200018322095	
matmul_optimized	Python	200	0.4601639993779827	
matmul_optimized	Python	400	2.9721709979639854	
matmul_optimized	C	100	0.428746	
matmul_optimized	C	200	1.107609	
matmul_optimized	C	400	3.161746	
matmul_optimized	Java	100	9.0	
matmul_optimized	Java	200	20.0	
matmul_optimized	Java	400	47.0	
matmul_optimized	Python	100		5329936
matmul_optimized	Python	200		6049936
matmul_optimized	Python	400		8929936
matmul_optimized	C	100		262608
matmul_optimized	C	200		982608
matmul_optimized	C	400		3862608
matmul_optimized	Java	100		65742192
matmul_optimized	Java	200		65751280
matmul_optimized	Java	400		65750208
sort_stdlib	Python	100		1337248
sort_stdlib	Python	200		1337248
sort_stdlib	Python	400		1337248
sort_stdlib	Python	800		1337248
sort_stdlib	Python	1600		1337248
sort_stdlib	Python	3200		1337248
sort_stdlib	Python	6400		1370656
sort_stdlib	Python	12800		1452688
sort_stdlib	Python	25600		1618272
sort_stdlib	Python	512000		7620080
sort_stdlib	Python	1024000		14065136
sort_stdlib	C	100		4104
sort_stdlib	C	200		4104
sort_stdlib	C	400		6416
sort_stdlib	C	800		12816
sort_stdlib	C	1600		25616
sort_stdlib	C	3200		51216
sort_stdlib	C	6400		102416
sort_stdlib	C	12800		204816
sort_stdlib	C	25600		409616
sort_stdlib	C	512000		8192016
sort_stdlib	C	1024000		16392080
sort_stdlib	Java	100		33039528
sort_stdlib	Java	200		33010624
sort_stdlib	Java	400		32917368
sort_stdlib	Java	800		33245456
sort_stdlib	Java	1600		33284688
sort_stdlib	Java	3200		33246688
sort_stdlib	Java	6400		32852272
sort_stdlib	Java	12800		33244768
sort_stdlib	Java	25600		33266056
sort_stdlib	Java	512000		37065872
sort_stdlib	Java	1024000		36332664
sort_stdlib	Python	100	0.005142999725649133	
sort_stdlib	Python	200	0.010580999514786527	
sort_stdlib	Python	400	0.021287996787577868	
sort_stdlib	Python	800	0.04733700188808143	
sort_stdlib	Python	1600	0.10257000030833296	
sort_stdlib	Python	3200	0.22335099856718443	
sort_stdlib	Python	6400	0.5745279995608144	
sort_stdlib	Python	12800	1.1627530002442654	
sort_stdlib	Python	25600	2.412087000266183	
sort_stdlib	Python	512000	73.62207299956935	
sort_stdlib	Python	1024000	170.95106900160317	
sort_stdlib	C	100	0.004603	
sort_stdlib	C	200	0.012288	
sort_stdlib	C	400	0.022547	
sort_stdlib	C	800	0.041225	
sort_stdlib	C	1600	0.087001	
sort_stdlib	C	3200	0.184186	
sort_stdlib	C	6400	0.390627	
sort_stdlib	C	12800	0.827918	
sort_stdlib	C	25600	1.947695	
sort_stdlib	C	512000	51.440008	
sort_stdlib	C	1024000	105.860009	
sort_stdlib	Java	100	1.0	
sort_stdlib	Java	200	0.0	
sort_stdlib	Java	400	1.0	
sort_stdlib	Java	800	2.0	
sort_stdlib	Java	1600	2.0	
sort_stdlib	Java	3200	3.0	
sort_stdlib	Java	6400	5.0	
sort_stdlib	Java	12800	8.0	
sort_stdlib	Java	25600	11.0	
sort_stdlib	Java	512000	172.0	
sort_stdlib	Java	1024000	343.0	
heap	Python	100	1.4537500028382055	
heap	Python	200	5.2321959992696065	
heap	Python	400	24.229566999565577	
heap	Python	800	91.93748600227991	
heap	Python	1600	426.96476300261565	
heap	Python	3200	1829.2404650019307	
heap	C	100	0.023583	
heap	C	200	0.066636	
heap	C	400	0.271735	
heap	C	800	1.134474	
heap	C	1600	3.912941	
heap	C	3200	18.058335	
heap	Java	100	0.0	
heap	Java	200	0.0	
heap	Java	400	0.0	
heap	Java	800	0.0	
heap	Java	1600	0.0	
heap	Java	3200	0.0	
heap	Python	100		1630976
heap	Python	200		1630976
heap	Python	400		1630976
heap	Python	800		1630976
heap	Python	1600		1630992
heap	Python	3200		1630992
heap	C	100		6704
heap	C	200		9608
heap	C	400		19208
heap	C	800		38408
heap	C	1600		76808
heap	C	3200		153608
heap	Java	100		33273800
heap	Java	200		33258696
heap	Java	400		32958808
heap	Java	800		33309168
heap	Java	1600		33259416
heap	Java	3200		32908784
